Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/21/2022 4:08:50 PM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 8:17:55 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 8:18:50 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:04:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:05:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:06:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:07:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:08:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:09:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:10:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:11:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:12:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:13:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:14:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:15:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:16:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:17:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 9:18:18 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 10:35:18 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:37:35 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:38:10 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:38:26 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:39:01 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:39:26 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:40:01 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:40:26 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:41:01 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:41:26 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 10:41:58 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:41:59 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:42:00 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:42:01 AM
Alarm ID: A1 ,Tag name: aaa ,Alarm message: Visok nivo , Date and time: 7/22/2022 10:44:18 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:44:19 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:44:26 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:45:01 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:45:26 AM
Alarm ID: A3 ,Tag name: rrr ,Alarm message: aaa , Date and time: 7/22/2022 10:46:01 AM
Alarm ID: A2 ,Tag name: rrr ,Alarm message: Pozrav , Date and time: 7/22/2022 10:46:26 AM
Alarm ID: a3 ,Tag name: ai0 ,Alarm message: alarm , Date and time: 7/5/2023 12:14:08 PM
Alarm ID: a3 ,Tag name: ai0 ,Alarm message: alarm , Date and time: 7/5/2023 12:15:57 PM
Alarm ID: a3 ,Tag name: ai0 ,Alarm message: alarm , Date and time: 7/5/2023 12:16:02 PM
Alarm ID: a3 ,Tag name: ai0 ,Alarm message: alarm , Date and time: 7/5/2023 12:17:02 PM
Alarm ID: a3 ,Tag name: ai0 ,Alarm message: alarm , Date and time: 7/5/2023 12:18:02 PM
Alarm ID: 55 ,Tag name: 67 ,Alarm message: nesto 1 , Date and time: 12-Jun-24 23:07:11
Alarm ID: 55 ,Tag name: 67 ,Alarm message: nesto 1 , Date and time: 12-Jun-24 23:07:12
Alarm ID: 55 ,Tag name: 67 ,Alarm message: nesto 1 , Date and time: 12-Jun-24 23:07:13
Alarm ID: 55 ,Tag name: 67 ,Alarm message: nesto 1 , Date and time: 12-Jun-24 23:07:16
Alarm ID: 55 ,Tag name: 67 ,Alarm message: nesto 1 , Date and time: 12-Jun-24 23:07:17
